Animal,Drug,DateIndex,StimIntensity,Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30
ZZ15,Psilocybin stim/resp Baseline,22216-006,100,2.18412278627511e-05,2.27254513447406e-05,1.2381713531795e-05,7.47727335692616e-06,1.31143724502181e-05,2.48471205850365e-05,2.32863258133875e-05,1.99963051272789e-05,2.65169219346717e-05,-1.04720493254717e-06,7.6133624133945e-06,3.24165230267681e-05,1.56267233251128e-05,2.71337157755625e-05,1.49153393067536e-05,1.14069443952758e-05,8.9714267232921e-06,2.92692693619756e-05,1.80587267095689e-05,6.50531910650898e-06,1.53462842718e-05,1.43022407428361e-05,9.47621811064892e-06,5.14092516823439e-06,1.20620652523939e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,150,3.4151911677327e-05,3.37682613462675e-05,3.30134498653933e-05,1.84673372132238e-05,2.54051810770761e-05,2.9594722946058e-05,3.35567456204444e-05,2.57529572991189e-05,2.55099730566144e-05,3.72597751265857e-05,2.03474301088136e-05,2.7924210371566e-05,4.97649161843583e-05,1.1852653187816e-05,3.77095348085277e-05,4.73128784506116e-05,3.13856653519906e-05,2.32731399592012e-05,1.89816237252671e-05,2.84652287518838e-05,3.72787617379799e-05,3.48386820405722e-05,1.76692738023121e-05,2.86545891867718e-05,2.30760451813694e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,200,3.9449139876524e-05,3.3604748750804e-05,4.15519971284084e-05,5.25874202139676e-05,2.06090553547256e-05,2.39920900639845e-05,1.94688327610493e-05,4.53765205747914e-05,4.0050992538454e-05,3.88532716897316e-05,4.22241755586583e-05,4.89299309265334e-05,3.95103270420805e-05,4.48233768111095e-05,5.66857088415418e-05,2.04989901249064e-05,1.76029880094575e-05,2.42814930970781e-05,3.05731846310664e-05,3.62730461347383e-05,3.27122579619754e-05,2.85336209344678e-05,4.28961648140103e-05,2.3971515474841e-05,4.5357537601376e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,300,3.89239539799746e-05,5.65065529372077e-05,5.02999537275173e-05,4.36135342170019e-05,5.0663194997469e-05,5.61573506274726e-05,5.14769199071452e-05,4.2889663745882e-05,4.17114642914385e-05,6.16759425611235e-05,5.74730620428454e-05,6.0224348999327e-05,5.82315587962512e-05,5.82032480451744e-05,6.10218849033117e-05,4.34739304182585e-05,4.34094035881571e-05,5.142768350197e-05,5.04671625094488e-05,5.3503827075474e-05,4.82802643091418e-05,4.39841714978684e-05,4.07590341637842e-05,4.85942837258335e-05,4.28073799412232e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,400,6.20464052190073e-05,7.93874278315343e-05,4.43439130322076e-05,4.26976766902953e-05,5.45580551261082e-05,6.32666342426091e-05,5.85942834732123e-05,6.25399552518502e-05,5.84981025895104e-05,5.53517384105362e-05,5.52921228518244e-05,4.04706806875765e-05,6.00643434154335e-05,6.70908048050478e-05,6.34765747236088e-05,4.05415376008023e-05,3.47551649610978e-05,6.09339767834172e-05,8.34204838611186e-05,4.44100151071325e-05,5.28086093254387e-05,4.35027650382835e-05,5.80040286877193e-05,5.9020134358434e-05,5.21781075804029e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,500,6.86289204168133e-05,3.44905456586275e-05,4.38552888226695e-05,4.76713867101353e-05,5.28244345332496e-05,4.69258848170284e-05,5.77759929001331e-05,5.44979266123846e-05,5.39947141078301e-05,5.67729184695054e-05,5.03996488987468e-05,4.9845089961309e-05,4.96175744046923e-05,4.5244818466017e-05,6.99175288900733e-05,8.22726942715235e-05,6.85445193084888e-05,4.59963011962827e-05,5.65613991057035e-05,9.13358962861821e-05,5.91875068494119e-05,6.25406610197388e-05,5.71718774153851e-05,6.48205750621855e-05,5.61872438993305e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp Baseline,22216-006,600,5.49431242689025e-05,5.35103245056234e-05,6.09346789133269e-05,7.56812150939368e-05,7.73877691244707e-05,6.20228529442102e-05,5.84435947530437e-05,5.78164326725528e-05,7.79549882281572e-05,7.51076804590411e-05,5.35451217729133e-05,6.14916862105019e-05,4.77916473755613e-05,5.51296725461725e-05,6.33997333352454e-05,6.86180210323073e-05,6.83959515299648e-05,4.04641759814695e-05,6.30398208159022e-05,6.56082484056242e-05,5.09098754264414e-05,5.60305852559395e-05,4.24896643380634e-05,5.19502464157995e-05,4.07924308092333e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,1,2.36474734265357e-05,6.72580245009158e-06,9.23094557947479e-06,1.6551206499571e-05,-3.68703285857919e-06,1.51581534737488e-05,4.98356394018629e-06,4.86153749079676e-06,2.14839565160219e-06,1.16370956675382e-05,4.58180193163571e-06,4.4172306843393e-06,2.04749012482353e-05,6.52202743367525e-06,2.48105243372265e-06,2.49450549745234e-05,2.01387265406083e-05,1.60420204338152e-05,-4.81547203889932e-06,2.61156892520376e-05,-1.27171852000174e-05,8.88984413904836e-06,-2.66531787929125e-06,3.88008811569307e-06,-1.31903289002366e-06,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,50,-5.07780532643665e-06,1.60852741828421e-05,1.05886574601755e-05,8.38857340568211e-06,1.63189451996004e-05,4.95155927637825e-06,1.21909451991087e-05,-6.13960446571582e-06,3.96307768824045e-07,-1.63041352152504e-06,1.28947685880121e-05,-3.05494495478342e-06,7.34786817702116e-06,2.01418879441917e-05,-8.25230927148368e-06,2.28757853619754e-05,3.57267672370654e-05,1.13033811430796e-05,1.08168806036701e-05,1.49355601024581e-05,4.49775870947633e-06,-3.90681361750467e-06,-6.52044400339946e-06,1.75941950146807e-05,1.05412291304674e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,100,5.67384586247499e-06,2.12337545235641e-05,7.66822086006869e-06,1.78586378751788e-05,1.72455384017667e-05,5.42769203093485e-06,2.61884815699887e-05,1.40490556077566e-05,3.19036407745443e-05,6.52606331641437e-06,9.75806597125484e-06,1.12585494207451e-05,1.89214952115435e-05,1.68302412930643e-05,1.90280425158562e-05,6.6609227360459e-06,1.1746814379876e-05,3.28778878611047e-05,1.14192516775802e-05,1.19391625048593e-05,2.42377100221347e-05,1.17148101708153e-05,5.28843975189375e-06,2.49918230110779e-05,2.48212745646015e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,150,3.25649198202882e-05,2.21571826841682e-05,2.24847462959588e-05,1.79476028279169e-05,4.62707721453626e-05,3.03841734421439e-05,3.1872172257863e-05,2.7325535484124e-05,5.11395264766179e-05,2.38150314544328e-05,4.11945438827388e-05,4.21229015046265e-05,2.71059325314127e-05,2.15147229027934e-05,4.11275577789638e-05,2.59592052316293e-05,5.67071620025672e-05,2.78937986877281e-05,4.05809150834102e-05,2.27729251491837e-05,1.23305471788626e-05,4.33578898082487e-05,1.1514194738993e-05,3.844940874842e-05,5.63110297662206e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,200,3.678364737425e-05,1.95187694771448e-05,2.75203528872225e-05,3.86697101930622e-05,5.23266789969057e-05,3.04701479763025e-05,6.00318162469193e-05,4.45489204139449e-05,4.29151659773197e-05,2.61432960542152e-05,6.48752466076985e-05,4.89276535518002e-05,4.96235588798299e-05,5.19011882715859e-05,3.99869823013432e-05,4.07991210522596e-05,2.90836032945663e-05,3.83776641683653e-05,6.6786102252081e-05,6.91509339958429e-05,2.92154691123869e-05,4.96091342938598e-05,6.20056234765798e-05,6.13986776443198e-05,5.0329850637354e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,300,4.02120422222652e-05,1.99177120521199e-05,3.94141461583786e-05,3.85552521038335e-05,4.06491453759372e-05,1.61978023243137e-05,4.51848754892126e-05,2.13717758015264e-05,4.97700239066035e-05,5.83915571041871e-05,3.87010077247396e-05,6.46081607555971e-05,3.942698094761e-05,3.69272966054268e-05,7.95915475464426e-05,9.3945134722162e-05,3.51483067788649e-05,3.67444336006884e-05,7.15161295374855e-05,7.00355012668297e-05,4.62438656541053e-05,5.36618936166633e-05,5.41872468602378e-05,6.97712530381978e-05,5.39518150617369e-05,0,0,0,0,0
ZZ15,Psilocybin stim/resp hour 24,22217-001,400,1.30484841065481e-05,3.54980256815907e-05,5.32900157850236e-05,3.29868962580804e-05,5.25060240761377e-05,7.07894505467266e-05,4.42823693447281e-05,7.93292274465784e-05,6.14923992543481e-05,9.05805572983809e-05,5.45740585948806e-05,7.77100649429485e-05,6.37112825643271e-05,5.21364345331676e-05,6.59470679238439e-05,7.54171414882876e-05,7.20043899491429e-05,5.77248356421478e-05,2.81443553831195e-05,3.91709836549126e-05,4.86668905068655e-05,6.29679052508436e-05,7.99465415184386e-05,3.7204212276265e-05,8.84666151250713e-05,0,0,0,0,0
